model_key,sensitivity,specificity,accuracy,precision,mcc,micro_auroc,valid_mcc,train_bce,valid_bce,lr,fold,finished_at
esm-33-gearnet-rboost10,0.6746,0.9842,0.9682,0.7003,0.6706,0.9435,0.6746,,,,0,2023-12-15 00:57:02
esm-33-gearnet-rboost10,0.6794,0.9859,0.97,0.7245,0.6859,0.9426,0.6211,,,,1,2023-12-15 02:29:00
esm-33-gearnet-rboost10,0.6762,0.9874,0.9713,0.7452,0.6949,0.9285,0.647,,,,2,2023-12-15 04:00:32
esm-33-gearnet-rboost10,0.6587,0.9875,0.9704,0.7415,0.6835,0.9333,0.6786,,,,3,2023-12-15 05:32:25
esm-33-gearnet-rboost10,0.6172,0.9902,0.9709,0.7756,0.6772,0.9361,0.6438,,,,4,2023-12-15 07:04:20
esm-33-gearnet,0.63,0.987,0.9685,0.7261,0.66,0.9255,0.6967,0.0009,0.1745,0.0003,0,2023-12-15 10:48:09
esm-33-gearnet,0.6427,0.9898,0.9718,0.775,0.6914,0.9295,0.6125,0.001,0.2254,0.0003,1,2023-12-15 11:00:09
esm-33-gearnet,0.6539,0.987,0.9698,0.7335,0.6768,0.9253,0.623,0.0011,0.2004,0.0003,2,2023-12-15 11:07:51
esm-33-gearnet,0.6252,0.989,0.9702,0.7568,0.6726,0.9354,0.6921,0.0008,0.1789,0.0003,3,2023-12-15 11:15:52
esm-33-gearnet,0.6108,0.9888,0.9693,0.7495,0.661,0.9185,0.6515,0.0006,0.19,0.0003,4,2023-12-15 11:23:38
esm-33-gearnet-rboost25,0.6045,0.9918,0.9717,0.8013,0.682,0.9073,0.6915,,,,0,2023-12-19 14:55:34
esm-33-gearnet-rboost25,0.614,0.9906,0.9711,0.7809,0.6779,0.9107,0.6247,,,,1,2023-12-19 16:12:31
esm-33-gearnet-rboost25,0.6172,0.9929,0.9734,0.8252,0.7006,0.9075,0.6079,,,,2,2023-12-19 17:29:54
esm-33-gearnet-rboost25,0.6093,0.9914,0.9716,0.7942,0.6814,0.915,0.6912,,,,3,2023-12-19 18:47:21
esm-33-gearnet-rboost25,0.5789,0.9927,0.9713,0.8121,0.6718,0.921,0.6639,,,,4,2023-12-19 20:04:27
esm-33-gearnet-rboost10,0.6443,0.9892,0.9713,0.7652,0.6874,0.9093,0.7104,,,,0,2023-12-19 21:21:08
esm-33-gearnet-rboost10,0.6459,0.9886,0.9708,0.7556,0.6836,0.9166,0.6428,,,,1,2023-12-19 22:41:49
esm-33-gearnet-rboost10,0.6986,0.9848,0.97,0.7157,0.6913,0.9277,0.6407,,,,2,2023-12-20 00:01:51
esm-33-gearnet-rboost10,0.6268,0.9898,0.971,0.7706,0.6802,0.9189,0.6956,,,,3,2023-12-20 01:22:22
esm-33-gearnet-rboost10,0.6396,0.9896,0.9715,0.7712,0.6877,0.9094,0.6695,,,,4,2023-12-20 02:39:50
esm-33-gearnet-rboost05,0.6794,0.9852,0.9694,0.7148,0.6808,0.923,0.7045,,,,0,2023-12-20 03:56:25
esm-33-gearnet-rboost05,0.6906,0.9854,0.9701,0.7205,0.6896,0.9241,0.6291,,,,1,2023-12-20 05:13:11
esm-33-gearnet-rboost05,0.681,0.9868,0.9709,0.7375,0.6935,0.9156,0.6366,,,,2,2023-12-20 06:30:20
esm-33-gearnet-rboost05,0.7049,0.9852,0.9707,0.7222,0.6981,0.9327,0.7002,,,,3,2023-12-20 07:46:48
esm-33-gearnet-rboost05,0.6842,0.9854,0.9698,0.7186,0.6853,0.9224,0.6653,,,,4,2023-12-20 09:03:19
esm-33-gearnet-rboost50,0.5869,0.9929,0.9718,0.8178,0.6792,0.9312,0.6871,,,,0,2023-12-21 08:05:50
esm-33-gearnet-rboost50,0.5965,0.9915,0.971,0.7924,0.6731,0.9424,0.6095,,,,1,2023-12-21 09:27:32
esm-33-gearnet-rboost50,0.5949,0.9936,0.973,0.8363,0.6924,0.9321,0.6074,,,,2,2023-12-21 10:48:52
esm-33-gearnet-rboost50,0.571,0.9925,0.9707,0.8063,0.6643,0.9387,0.6796,,,,3,2023-12-21 12:11:45
esm-33-gearnet-rboost50,0.5662,0.9926,0.9705,0.8068,0.6617,0.9309,0.6685,,,,4,2023-12-21 13:34:23
esm-33-gearnet-aboost50,0.5646,0.9938,0.9716,0.8329,0.6724,0.9288,0.6794,,,,0,2023-12-25 20:00:58
esm-33-gearnet-aboost50,0.5901,0.9922,0.9714,0.8061,0.6757,0.9341,0.6092,,,,1,2023-12-25 21:16:43
esm-33-gearnet-aboost50,0.5853,0.9941,0.9729,0.8437,0.6899,0.9374,0.6021,,,,2,2023-12-25 22:32:22
esm-33-gearnet-aboost50,0.5758,0.9928,0.9712,0.8131,0.6703,0.9357,0.6798,,,,3,2023-12-25 23:48:03
esm-33-gearnet-aboost50,0.5566,0.9936,0.971,0.827,0.6648,0.9367,0.6575,,,,4,2023-12-26 01:03:38
esm-33-gearnet-aboost25,0.5646,0.9934,0.9712,0.8233,0.6681,0.8964,0.6836,,,,0,2023-12-26 02:19:28
esm-33-gearnet-aboost25,0.6077,0.9918,0.9719,0.8021,0.6842,0.907,0.6089,,,,1,2023-12-26 03:35:17
esm-33-gearnet-aboost25,0.5837,0.994,0.9727,0.8414,0.6879,0.9153,0.6041,,,,2,2023-12-26 04:51:05
esm-33-gearnet-aboost25,0.5837,0.9925,0.9713,0.8097,0.6736,0.9212,0.6813,,,,3,2023-12-26 06:06:54
esm-33-gearnet-aboost25,0.5566,0.9929,0.9703,0.8116,0.658,0.9193,0.6718,,,,4,2023-12-26 07:22:42
esm-33-gearnet-aboost10,0.5694,0.9931,0.9712,0.8188,0.669,0.8982,0.6835,,,,0,2023-12-26 08:38:36
esm-33-gearnet-aboost10,0.5662,0.9923,0.9703,0.8014,0.6592,0.9093,0.6078,,,,1,2023-12-26 09:54:29
esm-33-gearnet-aboost10,0.5518,0.9943,0.9714,0.8418,0.6683,0.9068,0.5915,,,,2,2023-12-26 11:17:46
esm-33-gearnet-aboost10,0.5646,0.9929,0.9708,0.8138,0.6638,0.9196,0.6778,,,,3,2023-12-26 12:37:39
esm-33-gearnet-aboost10,0.5407,0.9936,0.9701,0.8208,0.6522,0.8995,0.6544,,,,4,2023-12-26 14:05:45
esm-33-gearnet-ensemble,0.5566,0.9938,0.9712,0.831,0.6666,0.9333,0.6755,,,,0,2023-12-27 17:07:51
esm-33-gearnet-ensemble,0.5821,0.992,0.9708,0.7987,0.6676,0.9354,0.61,,,,1,2023-12-27 18:58:56
esm-33-gearnet-ensemble,0.5901,0.9937,0.9728,0.8371,0.6898,0.9404,0.6158,,,,2,2023-12-27 20:50:31
esm-33-gearnet-ensemble,0.5726,0.9923,0.9706,0.8031,0.6639,0.9439,0.6829,,,,3,2023-12-27 22:42:27
esm-33-gearnet-ensemble,0.5534,0.993,0.9703,0.8126,0.6565,0.9403,0.666,,,,4,2023-12-28 00:33:42
esm-33-gearnet-aboost50,0.5694,0.9936,0.9717,0.8302,0.6741,0.9344,0.667,,,,0,2023-12-28 02:51:15
