model_key,sensitivity,specificity,accuracy,precision,mcc,micro_auroc,valid_mcc,train_bce,valid_bce,lr,fold,finished_at
esm-t33,0.4457,0.9777,0.9473,0.5467,0.4662,0.808,0.8336,0.0166,0.1075,0.0003,0,2023-12-19 14:40:53
esm-t33,0.4565,0.9678,0.9387,0.4615,0.4265,0.8402,0.8867,0.0348,0.057,0.0003,1,2023-12-19 14:41:18
esm-t33,0.5109,0.9547,0.9294,0.4052,0.4179,0.837,0.7632,0.0381,0.1268,0.0003,2,2023-12-19 14:41:43
esm-t33,0.5109,0.9612,0.9356,0.4434,0.4419,0.8637,0.7351,0.0307,0.1427,0.0003,3,2023-12-19 14:42:08
esm-t33,0.4783,0.954,0.9269,0.386,0.3912,0.7825,0.9265,0.0537,0.028,0.0003,4,2023-12-19 14:42:33
esm-33-gearnet,0.5652,0.8193,0.8048,0.159,0.2218,0.7796,0.8948,0.0132,0.0656,0.0003,0,2023-12-19 14:43:11
esm-33-gearnet,0.3587,0.9777,0.9424,0.4925,0.3909,0.681,0.9051,0.0113,0.0529,0.0003,1,2023-12-19 14:43:52
esm-33-gearnet,0.4022,0.9639,0.9318,0.4022,0.366,0.7267,0.7759,0.0089,0.1434,0.0003,2,2023-12-19 14:44:32
esm-33-gearnet,0.337,0.9901,0.9529,0.6739,0.4558,0.7726,0.746,0.0048,0.2071,0.0003,3,2023-12-19 14:45:13
esm-33-gearnet,0.2826,0.9796,0.9399,0.4561,0.3294,0.7539,0.7751,0.0244,0.2336,0.0003,4,2023-12-19 14:45:53
esm-t33-pretrained,0.413,0.9862,0.9535,0.6441,0.4932,0.8296,0.8734,0.0285,0.0489,0.0003,0,2023-12-19 14:46:22
esm-t33-pretrained,0.4022,0.9901,0.9566,0.7115,0.5151,0.8187,0.918,0.032,0.0358,0.0003,1,2023-12-19 14:46:51
esm-t33-pretrained,0.4239,0.9895,0.9572,0.7091,0.5283,0.812,0.7279,0.0301,0.1572,0.0003,2,2023-12-19 14:47:19
esm-t33-pretrained,0.4239,0.9908,0.9585,0.7358,0.5395,0.7838,0.7499,0.0321,0.1073,0.0003,3,2023-12-19 14:47:49
esm-t33-pretrained,0.4565,0.9842,0.9542,0.6364,0.516,0.8216,0.8761,0.0419,0.0534,0.0003,4,2023-12-19 14:48:18
esm-t33-pretrained-freezelm,0.4022,0.979,0.9461,0.5362,0.4368,0.7478,0.9311,0.0661,0.0456,0.0003,0,2023-12-19 14:48:44
esm-t33-pretrained-freezelm,0.4565,0.9685,0.9393,0.4667,0.4294,0.7463,0.9106,0.0629,0.0438,0.0003,1,2023-12-19 14:49:10
esm-t33-pretrained-freezelm,0.3913,0.9855,0.9517,0.6207,0.4694,0.7354,0.7386,0.0515,0.1362,0.0003,2,2023-12-19 14:49:35
esm-t33-pretrained-freezelm,0.2935,0.9928,0.9529,0.7105,0.4377,0.7383,0.7355,0.0533,0.1373,0.0003,3,2023-12-19 14:50:00
esm-t33-pretrained-freezelm,0.337,0.9915,0.9542,0.7045,0.4676,0.7536,0.9179,0.0723,0.0511,0.0003,4,2023-12-19 14:50:25
esm-33-gearnet-pretrained,0.413,0.9862,0.9535,0.6441,0.4932,0.781,0.9037,0.0133,0.052,0.0003,0,2023-12-19 14:51:07
esm-33-gearnet-pretrained,0.4239,0.9829,0.9511,0.6,0.4798,0.7662,0.873,0.0163,0.0515,0.0003,1,2023-12-19 14:51:49
esm-33-gearnet-pretrained,0.413,0.9875,0.9548,0.6667,0.5031,0.7818,0.7707,0.0058,0.1715,0.0003,2,2023-12-19 14:52:31
esm-33-gearnet-pretrained,0.3478,0.9888,0.9523,0.6531,0.4549,0.718,0.7066,0.0142,0.2102,0.0003,3,2023-12-19 14:53:15
esm-33-gearnet-pretrained,0.3261,0.9921,0.9542,0.7143,0.4634,0.751,0.8675,0.0085,0.1359,0.0003,4,2023-12-19 14:53:57
esm-33-gearnet-pretrained-freezelm,0.4565,0.9409,0.9133,0.3182,0.3362,0.8231,0.9189,0.0148,0.0462,0.0003,0,2023-12-19 14:54:36
esm-33-gearnet-pretrained-freezelm,0.4022,0.9652,0.9331,0.4111,0.3712,0.7783,0.9123,0.0168,0.0416,0.0003,1,2023-12-19 14:55:17
esm-33-gearnet-pretrained-freezelm,0.5326,0.9501,0.9263,0.392,0.4187,0.8017,0.773,0.0109,0.153,0.0003,2,2023-12-19 14:55:58
esm-33-gearnet-pretrained-freezelm,0.3804,0.9882,0.9535,0.6604,0.4795,0.8237,0.7539,0.0077,0.1898,0.0003,3,2023-12-19 14:56:38
esm-33-gearnet-pretrained-freezelm,0.4022,0.958,0.9263,0.3663,0.3447,0.7874,0.7886,0.0145,0.1635,0.0003,4,2023-12-19 14:57:17
esm-33-gearnet-pretrained-freezeall,0.3913,0.9271,0.8965,0.2449,0.2565,0.7583,0.8294,0.0838,0.0762,0.0003,0,2023-12-19 14:57:51
esm-33-gearnet-pretrained-freezeall,0.25,0.9632,0.9226,0.2911,0.2291,0.7534,0.8366,0.0747,0.0796,0.0003,1,2023-12-19 14:58:26
esm-33-gearnet-pretrained-freezeall,0.2609,0.9915,0.9498,0.6486,0.3909,0.7772,0.7765,0.0516,0.125,0.0003,2,2023-12-19 14:59:01
esm-33-gearnet-pretrained-freezeall,0.2935,0.9855,0.9461,0.551,0.377,0.7705,0.7108,0.045,0.1515,0.0003,3,2023-12-19 14:59:35
esm-33-gearnet-pretrained-freezeall,0.2717,0.9921,0.9511,0.6757,0.4087,0.7838,0.8009,0.0841,0.0972,0.0003,4,2023-12-19 15:00:10
esm-33-gearnet-ensemble,0.2609,0.9967,0.9548,0.8276,0.4496,0.7768,0.8795,,,,0,2023-12-19 15:07:26
